Time,Parameter,Value
0,RecordID,SGRO-0662
12,ASV_1,1.0
12,ASV_2,-0.0012976157306053837
12,ASV_3,-0.7868407435417745
12,ASV_4,-0.8341917764598177
12,ASV_5,-0.9065398240655973
12,ASV_6,-0.9409624646738048
12,ASV_7,-0.9768817418301954
12,ASV_8,-0.9691278907773753
12,ASV_9,-0.9966246069338853
12,ASV_10,-0.9861481510966047
12,ASV_11,-0.8893125820960872
12,ASV_12,-0.9832981729888947
12,ASV_13,-0.967997452533535
12,ASV_14,-0.9795088166222187
12,ASV_15,-1.0
12,ASV_16,-0.9913545356844325
12,ASV_17,-0.9967360585917286
14,ASV_1,1.0
14,ASV_2,0.770729603638217
14,ASV_3,-0.7242325636099893
14,ASV_4,-0.6474693221468617
14,ASV_5,-0.919394675971302
14,ASV_6,-0.7544987650448897
14,ASV_7,-0.784608146783236
14,ASV_8,-0.9794566197514408
14,ASV_9,-0.9565609440545733
14,ASV_10,-0.8923432783157564
14,ASV_11,-1.0
14,ASV_12,-0.9702042576547615
14,ASV_13,-0.9462108440820167
14,ASV_14,-0.9279413494334888
14,ASV_15,-0.9914533265378132
14,ASV_16,-0.9524052220958953
14,ASV_17,-0.984788489434273
16,ASV_1,1.0
16,ASV_2,-0.2695628743248374
16,ASV_3,-0.8268889242715592
16,ASV_4,-0.833821205923059
16,ASV_5,-0.917792447977268
16,ASV_6,-0.942778056756525
16,ASV_7,-0.8706137396352591
16,ASV_8,-0.9322449079574264
16,ASV_9,-0.9902262177422319
16,ASV_10,-0.9999755043051184
16,ASV_11,-1.0
16,ASV_12,-0.9861599323918822
16,ASV_13,-0.8433745269268926
16,ASV_14,-0.9784437885041704
16,ASV_15,-0.9831959533112056
16,ASV_16,-0.8854826264284053
16,ASV_17,-0.9833919188702586
18,ASV_1,1.0
18,ASV_2,0.08352620069911088
18,ASV_3,-0.791000941724793
18,ASV_4,-0.6652567397168441
18,ASV_5,-0.9403999936154251
18,ASV_6,-0.9229381813538491
18,ASV_7,-0.9968715583151107
18,ASV_8,-0.9771112991013711
18,ASV_9,-1.0
18,ASV_10,-0.9767601474836795
18,ASV_11,-0.9675663596750251
18,ASV_12,-0.9594260267194458
18,ASV_13,-0.9744297776571802
18,ASV_14,-0.966129830329923
18,ASV_15,-0.9678855884183812
18,ASV_16,-0.9760897671226317
18,ASV_17,-0.9902635233276404
20,ASV_1,1.0
20,ASV_2,0.16507692307692312
20,ASV_3,-0.1958461538461539
20,ASV_4,-0.6115384615384616
20,ASV_5,-0.47923076923076924
20,ASV_6,-0.8727692307692307
20,ASV_7,-0.8116923076923077
20,ASV_8,-0.7090769230769232
20,ASV_9,-0.8584615384615385
20,ASV_10,-0.6181538461538462
20,ASV_11,-0.9050769230769231
20,ASV_12,-0.9821538461538462
20,ASV_13,-1.0
20,ASV_14,-0.9506153846153846
20,ASV_15,-0.8924615384615384
20,ASV_16,-0.9884615384615385
20,ASV_17,-0.8175384615384615
