Time,Parameter,Value
0,RecordID,SGRO-0467
12,ASV_1,-0.44095775539264803
12,ASV_2,-0.114709139813301
12,ASV_3,0.7704762407046042
12,ASV_4,-0.5777121459838617
12,ASV_5,-0.03644322556827173
12,ASV_6,-0.9420389219977849
12,ASV_7,1.0
12,ASV_8,-0.28679921945045095
12,ASV_9,-0.7254891619640315
12,ASV_10,-0.994093138547545
12,ASV_11,-1.0
12,ASV_12,-0.9398238489531143
12,ASV_13,-1.0
12,ASV_14,-0.7117768050208322
12,ASV_15,-0.8420441959812246
12,ASV_16,-1.0
12,ASV_17,-0.7190549021676071
14,ASV_1,-0.681068539537217
14,ASV_2,1.0
14,ASV_3,-0.8229134006396187
14,ASV_4,-0.5192826236909764
14,ASV_5,-0.5394745093120963
14,ASV_6,-0.5473756819464476
14,ASV_7,-0.7041449802470684
14,ASV_8,-0.8562739073179908
14,ASV_9,-0.9181037185677556
14,ASV_10,-0.8980372483852762
14,ASV_11,-1.0
14,ASV_12,-0.8289333416943626
14,ASV_13,-1.0
14,ASV_14,-0.9377939424343137
14,ASV_15,-0.8847432118893835
14,ASV_16,-1.0
14,ASV_17,-0.9627516147237725
16,ASV_1,1.0
16,ASV_2,0.29798100076737843
16,ASV_3,-0.8341933264533884
16,ASV_4,-0.868910587176841
16,ASV_5,-0.8765843719404091
16,ASV_6,-0.820698049800217
16,ASV_7,-0.9985181657008282
16,ASV_8,-0.9908973035908021
16,ASV_9,-0.9899446958270488
16,ASV_10,-0.9928554417718505
16,ASV_11,-1.0
16,ASV_12,-0.951734539969834
16,ASV_13,-0.9980947844724934
16,ASV_14,-0.9851287343547406
16,ASV_15,-0.9838585906697361
16,ASV_16,-0.9909502262443439
16,ASV_17,-0.9774549495911725
18,ASV_1,1.0
18,ASV_2,0.22180901355184357
18,ASV_3,-0.9112091606261162
18,ASV_4,-0.8054837693034983
18,ASV_5,-0.9510872990860384
18,ASV_6,-0.8310746927198235
18,ASV_7,-0.9926462863746192
18,ASV_8,-1.0
18,ASV_9,-0.9963861750183843
18,ASV_10,-0.9882760794201072
18,ASV_11,-0.7414434289316105
18,ASV_12,-0.9332703015022586
18,ASV_13,-0.9925202227124698
18,ASV_14,-0.9204118079630214
18,ASV_15,-0.9968063872255489
18,ASV_16,-0.9010400252127324
18,ASV_17,-0.9965542599012501
20,ASV_1,0.8932270373398745
20,ASV_2,1.0
20,ASV_3,-0.4546197874080131
20,ASV_4,-0.6328699918233851
20,ASV_5,-0.8085309348596348
20,ASV_6,-0.7711910602343963
20,ASV_7,-1.0
20,ASV_8,-0.9064458980648677
20,ASV_9,-0.9515535568274734
20,ASV_10,-0.9711092940855819
20,ASV_11,-0.6107931316434996
20,ASV_12,-0.863177977650586
20,ASV_13,-0.9988416462251295
20,ASV_14,-0.8435541019351323
20,ASV_15,-0.9863041700735895
20,ASV_16,-0.9784682474788771
20,ASV_17,-0.9816707549741074
